experiment_id,title,source,vocab_size,context_length,emb_dim,n_heads,n_layers,ffn_mult,drop_rate,norm_first,activation,activation_name,tie_embeddings,qkv_bias,stride,epochs,parameter_count,train_char_count,val_char_count,train_token_count,val_token_count,val_tokens_per_char,val_chars_per_token,final_train_loss,final_val_loss,best_val_loss,final_minus_best_val_loss,final_generalization_gap,final_val_nats_per_char,final_val_bits_per_char,tokens_seen,tokens_per_sec,compute_proxy_param_tokens,estimated_train_flops
E00,E00 기준 모델,docs/HY/testresult/E00_baseline_result.md,3000,128,192,4,4,4,0.1,,,,False,False,128,5,2954112,1379486,120560,805021,70386,0.5838254810882548,1.7128406217145455,5.081426,5.301974,5.301974,0.0,0.22054799999999997,3.095427521267419,4.4657579343637215,4014080.0,195309.463,11858041896960.0,71148251381760.0
E01,E01 context_length 64,docs/HY/testresult/E01_context_length_64_result.md,3000,64,192,4,4,4,0.1,,,,False,False,64,5,2941824,1379486,120560,805021,70386,0.5838254810882548,1.7128406217145455,4.817393,5.146068,5.146068,0.0,0.3286749999999996,3.0044056258128733,4.334441097179135,4024320.0,102490.385,11838841159680.0,71033046958080.0
E02,E02 context_length 192,docs/HY/testresult/E02_context_length_192_result.md,3000,192,192,4,4,4,0.1,,,,False,False,192,5,2966400,1379486,120560,805021,70386,0.5838254810882548,1.7128406217145455,5.20391,5.388636,5.388636,0.0,0.1847260000000004,3.1460230051094893,4.538751787994054,4024320.0,288413.63,11937742848000.0,71626457088000.0
E03,E03 context_length 256,docs/HY/testresult/E03_context_length_256_result.md,3000,256,192,4,4,4,0.1,,,,False,False,256,5,2978688,1379486,120560,805021,70386,0.5838254810882548,1.7128406217145455,5.287089,5.447002,5.447002,0.0,0.15991300000000042,3.1800985631386864,4.587912426578301,4014080.0,340329.108,11956691927040.0,71740151562240.0
E04,E04 vocab_size 2000,docs/HY/testresult/E04_vocab_size_2000_result.md,2000,128,192,4,4,4,0.1,,,,False,False,128,5,2570112,1379486,120560,900849,78686,0.6526708692767087,1.532165823653509,4.631601,4.811352,4.811352,0.0,0.17975100000000044,3.140229292236231,4.53039322716347,4485120.0,195011.677,11527260733440.0,69163564400640.0
E05,E05 vocab_size 4000,docs/HY/testresult/E05_vocab_size_4000_result.md,4000,128,192,4,4,4,0.1,,,,False,False,128,5,3338112,1379486,120560,750427,65634,0.5444094226940942,1.836852850656672,5.341958,5.638393,5.638393,0.0,0.2964349999999998,3.069594278052422,4.428488442487367,3747840.0,195553.071,12510709678080.0,75064258068480.0
E06,E06 vocab_size 5000,docs/HY/testresult/E06_vocab_size_5000_result.md,5000,128,192,4,4,4,0.1,,,,False,False,128,5,3722112,1379486,120560,712949,62493,0.5183560053085601,1.9291760677195846,5.552528,5.882533,5.882533,0.0,0.3300049999999999,3.0492463069757796,4.399132525522943,3563520.0,188826.05,13263820554240.0,79582923325440.0
E07,E07 emb_dim 128,docs/HY/testresult/E07_emb_dim_128_result.md,3000,128,128,4,4,4,0.1,,,,False,False,128,5,1576192,1379486,120560,805021,70386,0.5838254810882548,1.7128406217145455,5.24061,5.392111,5.392111,0.0,0.15150099999999966,3.1480517986562706,4.541678718382983,4014080.0,198883.661,6326960783360.0,37961764700160.0
E08,E08 emb_dim 256,docs/HY/testresult/E08_emb_dim_256_result.md,3000,128,256,4,4,4,0.1,,,,False,False,128,5,4725248,1379486,120560,805021,70386,0.5838254810882548,1.7128406217145455,4.9471,5.229174,5.229174,0.0,0.2820740000000006,3.052925026244194,4.404439795568307,4014080.0,196908.614,18967523491840.0,113805140951040.0
E09,E09 n_heads 3,docs/HY/testresult/E09_n_heads_3_result.md,3000,128,192,3,4,4,0.1,,,,False,False,128,5,2954112,1379486,120560,805021,70386,0.5838254810882548,1.7128406217145455,5.070941,5.288454,5.288454,0.0,0.2175129999999994,3.0875342007631055,4.454370280016001,4014080.0,200458.658,11858041896960.0,71148251381760.0
